"","Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Score","OLSAT Verbal Percentile","NNAT Non Verbal Raw Score","NNAT Non Verbal Percentile","Overall Score","School Preferences","School Assigned","Will you enroll there?"
"1",2017-04-08,"1",6,"September","28/30",99,"45/50",99,99,"NEST+m, TAG, Anderson, Q300","NEST","YES"
"2",2017-04-07,"0",0,"August","25",99,"39",99,99,"Anderson, NEST+m",NA,"Maybe"
"3",2017-04-07,"1",0,"March","27",96,"42",99,98,NA,NA,"Maybe"
"4",2017-04-07,"0",0,"September","23",97,"40",99,98,NA,NA,NA
"5",2017-04-10,"0",22,"April","2",98,"38",99,99,"Brooklyn School of Inquiry","Currently - local Brooklyn dual language","Maybe"
"6",2017-04-07,"0",0,"May","24",97,"36",98,0,NA,NA,NA
"7",2017-04-07,"0",0,"February","26",99,"42",99,99,"Anderson NEST TAG Q300",NA,NA
"8",2017-04-07,"0",0,"October","24",99,"42",0,99,"Nest+M, Anderson",NA,"Yes"
"9",2017-04-07,"1",0,"March","23",81,"42",99,95,NA,NA,NA
"10",2017-04-07,"2",0,"April","29",99,"44",0.99,99,"Any citywide or district 3 school",NA,"Yes"
"11",2017-04-07,"0",0,"June","17",77,"39",99,94,NA,NA,"Maybe"
"12",2017-04-07,"0",0,"December","23",98,"45",99,99,NA,NA,NA
"13",2017-04-07,"1",0,"July","24",86,"39",98,94,NA,NA,NA
"14",2017-04-07,"1",0,"May","0.97",99,"48",99,99,NA,NA,NA
"15",2017-04-07,"1",0,"January","28",96,"43",0,98,NA,NA,NA
"16",2017-04-07,"0",0,"January","26",99,"40",99,99,NA,NA,NA
"17",2017-04-07,"1",0,"January","26",89,"46",99,96,NA,NA,NA
"18",2017-04-07,"1",0,"June","25",89,"41",99,96,NA,NA,NA
"19",2017-04-08,"0",11,"December","21",96,"43",99,98,"PS121",NA,"Yes"
"20",2017-04-08,"0",3,"8","25",99,"85",99,99,"Anderson, NEST+m",NA,"Maybe"
"21",2017-04-08,"0",26,"May","28",99,"46",99,99,"Anderson","PS 203","Maybe"
"22",2017-04-08,"0",28,"July","28",99,"38",99,99,NA,NA,NA
"23",2017-04-08,"2",2,"February","28",97,"44",99,98,NA,NA,NA
"24",2017-04-08,"1",3,"11","28",99,"41",99,99,"Anderson, NEST+M, Lower Lab",NA,"Yes"
"25",2017-04-08,"1",1,"January","3",89,"42",9,96,NA,NA,NA
"26",2017-04-08,"2",26,"January","28",97,"43",99,98,"PS Q203","PS Q203","Yes"
"27",2017-04-08,"1",2,"March","28",99,"45",99,99,NA,NA,"Maybe"
"28",2017-04-08,"2",2,"11","28",99,"47",99,99,"Anderson",NA,"Yes"
"29",2017-04-08,"1",15,"January","26",89,"46",99,96,"Likely staying in zoned schools; D15 G&T options are limited.",NA,NA
"30",2017-04-08,"0",25,"February","27",99,"46",99,99,"TBD",NA,"Yes"
"31",2017-04-09,"0",14,"May","27",99,"45",99,99,"Nest",NA,"Maybe"
"32",2017-04-10,"0",11,"March","32",97,"40",99,98,"Tag","175","Maybe"
"33",2017-04-10,"0",20,"May","19",87,"40",99,96,"PS229",NA,"No"
"34",2017-04-10,"0",25,"May","24/30",97,"36/48",98,98,"Anderson","PS 32 Q","Yes"
"35",2017-04-10,"0",28,"August","13",55,"27",90,76,NA,NA,NA
"36",2017-04-10,"0",3,"8","29",99,"37",99,99,"Anderson",NA,"Yes"
"37",2017-04-11,"0",2,"July","18",83,"38",99,95,NA,NA,"Maybe"
"38",2017-04-11,"0",3,"December","23/30",98,"40/48",99,99,"Anderson, Tag Young, Nest+M",NA,"Yes"
"39",2017-04-12,"0",28,"November","18",88,"45",9,96,"TBD",NA,"Maybe"
"40",2017-04-12,"0",26,"July","22",86,"41",99,96,NA,NA,"Yes"
"41",2017-04-13,"0",3,"April","23",96,"39",99,98,NA,NA,NA
"42",2017-04-13,"0",32,"March","17/30",79,"36/48",99,94,NA,NA,NA
"43",2017-04-13,"1",2,"January","24",86,"42",99,0,NA,NA,"Yes"
"44",2017-04-13,"0",2,"October","26",99,"35",99,99,NA,NA,NA
"45",2017-04-13,"0",32,"February","26",99,"40",99,99,"Nest","n/a","No"
"46",2017-04-16,"1",3,"December","27",99,"43",99,99,"Any city-wide",NA,"Yes"
"47",1899-12-31,"1",2,"January","28",96,"46",99,98,NA,NA,NA
"48",2017-04-17,"0",26,"March","24",96,"44",99,98,"PS188",NA,"Yes"
"49",2017-04-17,"1",21,"December","29",99,"45",99,99,"BSI",NA,NA
"50",2017-04-17,"0",2,"September","28",99,"42",99,99,NA,NA,NA
"51",2017-04-18,"1",2,"March","29",99,"44",99,99,NA,"Anderson","No"
"52",2017-04-19,"0",24,"February","20",87,"33",93,90,NA,NA,"Maybe"
"53",2017-04-20,"2",15,"December","28",99,"88",99,99,"NEST+M",NA,NA
"54",2017-04-20,"0",21,"March","25",98,"40",99,99,"Nest+m, BSI",NA,"Maybe"
"55",2017-04-21,"0",26,"January","24",99,"45",99,98,NA,NA,NA
"56",2017-04-21,"0",3,"April","24",97,"40",99,99,NA,NA,NA
"57",2017-04-24,"0",2,"July","24",97,"34",98,98,"NEST, LL, Anderson, TAG, 130,11,124,33",NA,NA
"58",2017-04-24,"0",28,"2","23",95,"37",98,97,"Nest+m, PS144, PS174",NA,"Yes"
"59",2017-04-24,"0",28,"July","27",99,"38",99,99,NA,NA,NA
"60",2017-04-24,"0",17,"October","22",96,"34",99,98,NA,NA,NA
"61",2017-04-24,"0",2,"May","25",99,"36",98,99,"Anderson, NEST, PS 77, TAG","PS 158","Yes"
"62",2017-04-25,"0",3,"March","26",99,"45",99,99,"Anderson",NA,"Yes"
"63",2017-04-25,"1",2,"January","26",97,"39",99,0,"na",NA,"No"
"64",2017-04-25,"0",2,"March","28",99,"43",99,99,"Anderson, NEST, TAG, PS77, PS33, PS11",NA,"Yes"
"65",2017-04-25,"1",26,"April","23",81,"45",99,95,"p.s.203q","none","Yes"
"66",2017-04-25,"1",28,"May","29",99,"48",99,99,"Q300",NA,"Yes"
"67",2017-04-25,"2",30,"July","29",99,"40",99,99,"NEST, Anderson, 30th Av",NA,"Maybe"
"68",2017-04-25,"0",2,"January","24",96,"40",99,98,NA,NA,NA
"69",1899-12-31,"0",2,"September","99",99,"99",99,99,NA,NA,NA
"70",2017-04-26,"0",2,"January","25",98,"41",99,99,"Anderson,NEST+m,LL,PS11",NA,NA
"71",2017-04-26,"0",31,"January","19",81,"38",99,95,"PS50,PS229,PS205,PS53",NA,"Yes"
"72",2017-04-26,"1",2,"May","29",99,"44",99,99,"Anderson, Nest, Tag, LL",NA,"Maybe"
"73",2017-04-26,"3",30,"October","90",90,"90",90,90,NA,NA,NA
"74",2017-04-27,"0",2,"November","20",90,"39",99,96,"PS11",NA,"Maybe"
"75",2017-04-28,"0",2,"March","21",90,"39",99,96,"LL, 198, 11, 130, 217, 124, 33",NA,NA
"76",2017-04-28,"2",2,"November","28",99,"47",99,99,"Anderson, nestM, lower lab",NA,NA
"77",2017-04-29,"3",3,"March","30",99,"39",99,99,NA,NA,NA
"78",2017-05-03,"0",20,"December","23",98,"37",99,99,"nest+m, BSI, Anderson, Q300",NA,NA
"79",2017-05-03,"0",20,"December","23",98,"37",99,99,"nest, bsi, anderson",NA,NA
"80",2017-05-03,"1",17,"February","21",69,"42",99,92,"316, 38,",NA,"Maybe"
"81",2017-05-04,"0",20,"January","24/30",96,"39/48",99,98,"BSI",NA,"Yes"
"82",2017-05-05,"0",28,"May","35",94,"40",98,96,"144, 174",NA,NA
"83",2017-05-05,"0",28,"March","22",94,"40",98,96,NA,NA,NA
"84",2017-05-07,"1",1,"October","28",99,"41",99,99,"Nest, Anderson",NA,"Yes"
"85",2017-05-08,"0",25,"August","Fill out later.",0,"Fill out later.",99,93,NA,NA,NA
"86",2017-05-09,"2",2,"May","28",98,"37",95,97,"Anderson (Sibling)",NA,"Yes"
"87",2017-05-10,"0",2,"July","19/30",87,"41/48",99,96,"11,198,33",NA,"Yes"
"88",2017-05-15,"1",21,"November","29",99,"44",99,99,"Bsi",NA,NA
"89",2017-05-16,"0",28,"December","26",99,"46",99,99,"NEST/Anderson/Q300",NA,NA
"90",2017-05-24,"0",30,"February","23",95,"40",99,98,"300, 217, 122, 166",NA,"Yes"
"91",2017-05-24,"0",26,"February","25",98,"41",99,99,"Nest, Q300, PS188, PS203",NA,NA
"92",2017-05-29,"0",22,"October","NA",99,"43",99,99,"Brooklyn school of inquiry",NA,"Yes"
"93",2017-05-31,"0",20,"February","30",99,"42",99,99,"Bsi",NA,NA
"94",2017-06-01,"0",2,"June","24",97,"NA",99,98,"Anderson, NEST, PS130, PS124, Lower Lab, PS11, PS33, TAG, BSI","PS130","Yes"
"95",2017-06-01,"0",2,"May","25",99,"36",98,99,"Anderson, NEST, Lower Lab, TAG","TAG","Yes"
